id,text,label,Comments
2,"Mr Modi's party also won the Chandigarh seat; the Congress held this for three terms previously, with Pawan Kumar Bansal winning in 1999, 2004, and 2009.","[[0, 2, 'B-PER'], [0, 2, 'NN'], [3, 9, 'I-PER'], [3, 9, 'NNP'], [8, 9, 'O'], [10, 15, 'NN'], [10, 15, 'O'], [16, 20, 'O'], [16, 20, 'RB'], [21, 24, 'O'], [21, 24, 'VB'], [25, 28, 'DT'], [25, 28, 'O'], [29, 39, 'B-GEO'], [29, 39, 'NNP'], [40, 44, 'NN'], [40, 44, 'O'], [46, 49, 'DT'], [46, 49, 'O'], [50, 58, 'B-ORG'], [50, 58, 'NNP'], [59, 63, 'O'], [59, 63, 'VB'], [64, 68, 'DT'], [64, 68, 'O'], [69, 72, 'IN'], [69, 72, 'O'], [73, 78, 'CD'], [73, 78, 'O'], [79, 84, 'NN'], [79, 84, 'O'], [85, 95, 'O'], [85, 95, 'RB'], [97, 101, 'IN'], [97, 101, 'O'], [102, 107, 'B-PER'], [102, 107, 'NNP'], [108, 113, 'I-PER'], [108, 113, 'NNP'], [114, 120, 'I-PER'], [114, 120, 'NNP'], [121, 128, 'O'], [121, 128, 'VB'], [129, 131, 'IN'], [129, 131, 'O'], [132, 136, 'B-DATE'], [132, 136, 'CD'], [138, 142, 'CD'], [138, 142, 'I-DATE'], [144, 147, 'CC'], [144, 147, 'O'], [148, 152, 'CD'], [148, 152, 'I-DATE']]",[]
3,Mr Gandhi has spoken to Shiv Sena (UBT) boss Uddhav Thackeray to complete talks in Maharashtra and Ms Gandhi Vadra ensured the deal with Akhilesh Yadav was struck.,"[[0, 2, 'B-PER'], [0, 2, 'NN'], [3, 9, 'I-PER'], [3, 9, 'NNP'], [10, 13, 'O'], [10, 13, 'VB'], [14, 20, 'O'], [14, 20, 'VB'], [21, 23, 'IN'], [21, 23, 'O'], [24, 28, 'B-PER'], [24, 28, 'NNP'], [29, 33, 'I-PER'], [29, 33, 'NNP'], [35, 38, 'I-PER'], [35, 38, 'NNP'], [40, 44, 'NN'], [45, 51, 'B-PER'], [45, 51, 'NNP'], [52, 61, 'I-PER'], [52, 61, 'NNP'], [62, 64, 'IN'], [62, 64, 'O'], [65, 73, 'O'], [65, 73, 'VB'], [74, 79, 'NN'], [74, 79, 'O'], [80, 82, 'IN'], [80, 82, 'O'], [83, 94, 'B-GEO'], [83, 94, 'NNP'], [95, 98, 'CC'], [95, 98, 'O'], [99, 101, 'NN'], [99, 101, 'O'], [102, 108, 'B-PER'], [102, 108, 'NNP'], [109, 114, 'I-PER'], [109, 114, 'NNP'], [115, 122, 'O'], [115, 122, 'VB'], [123, 126, 'DT'], [123, 126, 'O'], [127, 131, 'NN'], [127, 131, 'O'], [132, 136, 'IN'], [132, 136, 'O'], [137, 145, 'B-PER'], [137, 145, 'NNP'], [146, 151, 'I-PER'], [146, 151, 'NNP'], [152, 155, 'O'], [152, 155, 'VB'], [156, 162, 'O'], [156, 162, 'VB']]",[]
4,The Centre today acknowledged that some Indians are entangled in Russia's ongoing war with Ukraine.,"[[0, 3, 'DT'], [0, 3, 'O'], [4, 10, 'B-ORG'], [4, 10, 'NNP'], [11, 16, 'B-DATE'], [11, 16, 'NN'], [17, 29, 'O'], [17, 29, 'VB'], [30, 34, 'IN'], [30, 34, 'O'], [35, 39, 'NN'], [35, 39, 'O'], [40, 47, 'NN'], [48, 51, 'O'], [48, 51, 'VB'], [52, 61, 'O'], [52, 61, 'VB'], [62, 64, 'IN'], [62, 64, 'O'], [65, 73, 'B-GPE'], [65, 73, 'NNP'], [74, 81, 'JJ'], [74, 81, 'O'], [82, 85, 'NN'], [82, 85, 'O'], [86, 90, 'IN'], [86, 90, 'O'], [91, 98, 'B-GPE'], [91, 98, 'NNP']]",[]
5,"Yesterday, reports emerged that dozens of Indians were allegedly duped into military service in Russia.","[[0, 9, 'B-DATE'], [0, 9, 'NN'], [11, 18, 'NN'], [11, 18, 'O'], [19, 26, 'O'], [19, 26, 'VB'], [27, 31, 'IN'], [27, 31, 'O'], [32, 38, 'NN'], [32, 38, 'O'], [39, 41, 'IN'], [39, 41, 'O'], [42, 49, 'B-NORP'], [42, 49, 'NN'], [50, 54, 'O'], [50, 54, 'VB'], [55, 64, 'O'], [55, 64, 'RB'], [65, 70, 'O'], [65, 70, 'VB'], [71, 75, 'IN'], [71, 75, 'O'], [76, 84, 'JJ'], [76, 84, 'O'], [85, 92, 'NN'], [85, 92, 'O'], [93, 95, 'IN'], [93, 95, 'O'], [96, 102, 'NNP']]",[]
6,"Imran, Sufiyan's brother, revealed the deceptive tactics employed by agents associated with Faisal Khan, who runs a YouTube channel named 'Baba Vlogs'.","[[0, 5, 'B-PER'], [0, 5, 'NNP'], [7, 16, 'I-PER'], [7, 16, 'NNP'], [17, 24, 'NN'], [17, 24, 'O'], [26, 34, 'O'], [26, 34, 'VB'], [35, 38, 'DT'], [35, 38, 'O'], [39, 48, 'JJ'], [39, 48, 'O'], [49, 56, 'NN'], [49, 56, 'O'], [57, 65, 'O'], [57, 65, 'VB'], [66, 68, 'IN'], [66, 68, 'O'], [69, 75, 'NN'], [69, 75, 'O'], [76, 86, 'O'], [76, 86, 'VB'], [87, 91, 'IN'], [87, 91, 'O'], [92, 98, 'B-PER'], [92, 98, 'NNP'], [99, 103, 'I-PER'], [99, 103, 'NNP'], [105, 108, 'O'], [105, 108, 'PRP'], [109, 113, 'O'], [109, 113, 'VB'], [114, 115, 'O'], [115, 116, 'DT'], [116, 123, 'I-ORG'], [116, 123, 'NNP'], [124, 131, 'NN'], [124, 131, 'O'], [132, 137, 'O'], [132, 137, 'VB'], [139, 143, 'NNP'], [139, 143, 'O'], [144, 149, 'NNP'], [144, 149, 'O']]",[]
7,"With nine Indian men reportedly within the Ukrainian borders, facing danger and injuries, the distressed families seek help from the Centre.","[[0, 4, 'IN'], [0, 4, 'O'], [5, 9, 'CD'], [5, 9, 'O'], [10, 16, 'IN'], [10, 16, 'JJ'], [17, 20, 'NN'], [17, 20, 'O'], [21, 31, 'O'], [21, 31, 'RB'], [32, 38, 'IN'], [32, 38, 'O'], [39, 42, 'DT'], [39, 42, 'O'], [43, 52, 'B-GPE'], [43, 52, 'NNP'], [53, 60, 'NN'], [53, 60, 'O'], [62, 68, 'O'], [62, 68, 'VB'], [69, 75, 'NN'], [69, 75, 'O'], [76, 79, 'CC'], [76, 79, 'O'], [80, 88, 'NN'], [80, 88, 'O'], [90, 93, 'DT'], [90, 93, 'O'], [94, 104, 'JJ'], [94, 104, 'O'], [105, 113, 'NN'], [105, 113, 'O'], [114, 118, 'O'], [114, 118, 'VB'], [119, 123, 'NN'], [119, 123, 'O'], [124, 128, 'IN'], [124, 128, 'O'], [129, 132, 'DT'], [129, 132, 'O'], [133, 139, 'B-ORG'], [133, 139, 'NNP']]",[]
8,"Mr Owaisi formally wrote to External Affairs Minister S Jaishankar, seeking intervention to bring back the affected Indians.","[[0, 2, 'NNP'], [0, 2, 'O'], [3, 9, 'NNP'], [10, 18, 'O'], [10, 18, 'RB'], [19, 24, 'O'], [19, 24, 'VB'], [25, 27, 'IN'], [25, 27, 'O'], [28, 36, 'NNP'], [28, 36, 'O'], [37, 44, 'NNP'], [37, 44, 'O'], [45, 53, 'NNP'], [45, 53, 'O'], [55, 56, 'B-PER'], [55, 56, 'NNP'], [56, 66, 'I-PER'], [56, 66, 'NNP'], [68, 75, 'O'], [68, 75, 'VB'], [76, 88, 'NN'], [76, 88, 'O'], [89, 91, 'IN'], [89, 91, 'O'], [92, 97, 'O'], [92, 97, 'VB'], [98, 102, 'O'], [98, 102, 'RB'], [103, 106, 'DT'], [103, 106, 'O'], [107, 115, 'JJ'], [107, 115, 'O'], [116, 123, 'B-NORP'], [116, 123, 'NN']]",[]
9,Telangana MLA Lasya Nanditha died today after the SUV she was travelling in collided with a road divider in Hyderabad.,"[[0, 9, 'B-GPE'], [0, 9, 'NNP'], [10, 13, 'NNP'], [10, 13, 'O'], [14, 19, 'B-PER'], [14, 19, 'NNP'], [20, 28, 'I-PER'], [20, 28, 'NNP'], [29, 33, 'O'], [29, 33, 'VB'], [34, 39, 'I-DATE'], [34, 39, 'NN'], [40, 45, 'IN'], [40, 45, 'O'], [46, 49, 'DT'], [46, 49, 'O'], [50, 53, 'NN'], [50, 53, 'O'], [54, 57, 'O'], [54, 57, 'PRP'], [58, 61, 'O'], [58, 61, 'VB'], [62, 72, 'O'], [62, 72, 'VB'], [73, 75, 'IN'], [73, 75, 'O'], [76, 84, 'O'], [76, 84, 'VB'], [85, 89, 'IN'], [85, 89, 'O'], [90, 91, 'DT'], [90, 91, 'O'], [92, 96, 'NN'], [92, 96, 'O'], [97, 104, 'NN'], [97, 104, 'O'], [105, 107, 'IN'], [105, 107, 'O'], [108, 117, 'B-GPE'], [108, 117, 'NNP']]",[]
10,"This though, was the second major accident that the Bharat Rashtra Samithi (BRS) leader was involved in this month.","[[0, 4, 'DT'], [0, 4, 'O'], [5, 11, 'IN'], [5, 11, 'O'], [13, 16, 'O'], [13, 16, 'VB'], [17, 20, 'DT'], [17, 20, 'O'], [21, 27, 'CD'], [21, 27, 'O'], [28, 33, 'JJ'], [28, 33, 'O'], [34, 42, 'NN'], [34, 42, 'O'], [43, 47, 'IN'], [43, 47, 'O'], [48, 51, 'DT'], [48, 51, 'O'], [52, 58, 'B-ORG'], [52, 58, 'NNP'], [59, 66, 'I-ORG'], [59, 66, 'NNP'], [67, 74, 'I-ORG'], [67, 74, 'NNP'], [76, 79, 'I-ORG'], [76, 79, 'NNP'], [81, 87, 'NN'], [81, 87, 'O'], [88, 91, 'O'], [88, 91, 'VB'], [92, 100, 'O'], [92, 100, 'VB'], [101, 103, 'IN'], [101, 103, 'O'], [104, 108, 'DT'], [104, 108, 'O'], [109, 114, 'NN'], [109, 114, 'O']]",[]
11,She was on her way to a rally being addressed by Telangana Chief Minister Revanth Reddy when a drunk driver rammed into her vehicle.,"[[0, 3, 'O'], [0, 3, 'PRP'], [4, 7, 'O'], [4, 7, 'VB'], [8, 10, 'IN'], [8, 10, 'O'], [11, 14, 'O'], [11, 14, 'PRP'], [15, 18, 'NN'], [15, 18, 'O'], [19, 21, 'IN'], [19, 21, 'O'], [22, 23, 'DT'], [22, 23, 'O'], [24, 29, 'NN'], [24, 29, 'O'], [30, 35, 'O'], [30, 35, 'VB'], [36, 45, 'O'], [36, 45, 'VB'], [46, 48, 'IN'], [46, 48, 'O'], [49, 58, 'B-GPE'], [49, 58, 'NNP'], [59, 64, 'NNP'], [59, 64, 'O'], [65, 73, 'NNP'], [65, 73, 'O'], [74, 81, 'B-PER'], [74, 81, 'NNP'], [82, 87, 'I-PER'], [82, 87, 'NNP'], [88, 92, 'O'], [88, 92, 'RB'], [93, 94, 'DT'], [93, 94, 'O'], [95, 100, 'JJ'], [95, 100, 'O'], [101, 107, 'NN'], [101, 107, 'O'], [108, 114, 'O'], [108, 114, 'VB'], [115, 119, 'IN'], [115, 119, 'O'], [120, 123, 'O'], [120, 123, 'PRP'], [124, 131, 'NN'], [124, 131, 'O']]",[]
