Sentence_ID,Word,POS,Tag
1,"['Mr', ""Modi's"", 'party', 'also', 'won', 'the', 'Chandigarh', 'seat;', 'the', 'Congress', 'held', 'this', 'for', 'three', 'terms', 'previously,', 'with', 'Pawan', 'Kumar', 'Bansal', 'winning', 'in', '1999,', '2004,', 'and', '2009.']","['NN', 'NNP', 'NN', 'RB', 'VB', 'DT', 'NNP', 'NN', 'DT', 'NNP', 'VB', 'DT', 'IN', 'CD', 'NN', 'RB', 'IN', 'NNP', 'NNP', 'NNP', 'VB', 'IN', 'CD', 'CD', 'CC', 'CD']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-GEO', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'I-DATE']"
2,"['Mr', 'Gandhi', 'has', 'spoken', 'to', 'Shiv', 'Sena', '(UBT)', 'boss', 'Uddhav', 'Thackeray', 'to', 'complete', 'talks', 'in', 'Maharashtra', 'and', 'Ms', 'Gandhi', 'Vadra', 'ensured', 'the', 'deal', 'with', 'Akhilesh', 'Yadav', 'was', 'struck.']","['NN', 'NNP', 'VB', 'VB', 'IN', 'NNP', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', 'IN', 'VB', 'NN', 'IN', 'NNP', 'CC', 'NN', 'NNP', 'NNP', 'VB', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'VB', 'VB']","['B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-GEO', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O']"
3,"['The', 'Centre', 'today', 'acknowledged', 'that', 'some', 'Indians', 'are', 'entangled', 'in', ""Russia's"", 'ongoing', 'war', 'with', 'Ukraine.']","['DT', 'NNP', 'NN', 'VB', 'IN', 'NN', 'NN', 'VB', 'VB', 'IN', 'NNP', 'JJ', 'NN', 'IN', 'NNP']","['O', 'B-ORG', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'B-GPE']"
4,"['Yesterday,', 'reports', 'emerged', 'that', 'dozens', 'of', 'Indians', 'were', 'allegedly', 'duped', 'into', 'military', 'service', 'in', 'Russia.']","['NN', 'NN', 'VB', 'IN', 'NN', 'IN', 'NN', 'VB', 'RB', 'VB', 'IN', 'JJ', 'NN', 'IN', 'NNP']","['B-DATE', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Imran,', ""Sufiyan's"", 'brother,', 'revealed', 'the', 'deceptive', 'tactics', 'employed', 'by', 'agents', 'associated', 'with', 'Faisal', 'Khan,', 'who', 'runs', 'a', 'YouTube', 'channel', 'named', ""'Baba"", ""Vlogs'.""]","['NNP', 'NNP', 'NN', 'VB', 'DT', 'JJ', 'NN', 'VB', 'IN', 'NN', 'VB', 'IN', 'NNP', 'NNP', 'PRP', 'VB', 'DT', 'NNP', 'NN', 'VB', 'NNP', 'NNP']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'I-ORG', 'O', 'O', 'O', 'O']"
6,"['With', 'nine', 'Indian', 'men', 'reportedly', 'within', 'the', 'Ukrainian', 'borders,', 'facing', 'danger', 'and', 'injuries,', 'the', 'distressed', 'families', 'seek', 'help', 'from', 'the', 'Centre.']","['IN', 'CD', 'IN', 'JJ', 'NN', 'RB', 'IN', 'DT', 'NNP', 'NN', 'VB', 'NN', 'CC', 'NN', 'DT', 'JJ', 'NN', 'VB', 'NN', 'IN', 'DT', 'NNP']","['O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG']"
7,"['Mr', 'Owaisi', 'formally', 'wrote', 'to', 'External', 'Affairs', 'Minister', 'S', 'Jaishankar,', 'seeking', 'intervention', 'to', 'bring', 'back', 'the', 'affected', 'Indians.']","['NNP', 'NNP', 'RB', 'VB', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VB', 'NN', 'IN', 'VB', 'RB', 'DT', 'JJ', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP']"
8,"['Telangana', 'MLA', 'Lasya', 'Nanditha', 'died', 'today', 'after', 'the', 'SUV', 'she', 'was', 'travelling', 'in', 'collided', 'with', 'a', 'road', 'divider', 'in', 'Hyderabad.']","['NNP', 'NNP', 'NNP', 'NNP', 'VB', 'NN', 'IN', 'DT', 'NN', 'PRP', 'VB', 'VB', 'IN', 'VB', 'IN', 'DT', 'NN', 'NN', 'IN', 'NNP']","['B-GPE', 'O', 'B-PER', 'I-PER', 'O', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE']"
9,"['This', 'though,', 'was', 'the', 'second', 'major', 'accident', 'that', 'the', 'Bharat', 'Rashtra', 'Samithi', '(BRS)', 'leader', 'was', 'involved', 'in', 'this', 'month.']","['DT', 'IN', 'VB', 'DT', 'CD', 'JJ', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'VB', 'VB', 'IN', 'DT', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"['She', 'was', 'on', 'her', 'way', 'to', 'a', 'rally', 'being', 'addressed', 'by', 'Telangana', 'Chief', 'Minister', 'Revanth', 'Reddy', 'when', 'a', 'drunk', 'driver', 'rammed', 'into', 'her', 'vehicle.']","['PRP', 'VB', 'IN', 'PRP', 'NN', 'IN', 'DT', 'NN', 'VB', 'VB', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'RB', 'DT', 'JJ', 'NN', 'VB', 'IN', 'PRP', 'NN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
